,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
0,'repo',,,,,,,,repo,,,,,,,,,,
1,,ttest_ind,,,,,,,numberOfLogicalLines,,,,,0.35501506841303887,,,0.9249132885207748,,
2,,ttest_ind,,,,,,,numberOfPhysicalLines,,,,,0.30426353694279834,,,1.0273411308666147,,
3,,mannwhitneyu,-3.0,-2.0,0.00016800095827746602,0.00018231833072253483,0.00016800095827746602,0.00018231833072253478,numberOfStrictModeGlobal,0.00016800095827746602,0.00018231833072253483,2610.0,9197.0,0.0,0.0,1.0,0.0,0.0,2.9390554438105096e-39
4,,ttest_ind,2114.318602433193,48.33230557973564,0.1523768691576617,0.06563459906011254,0.00036102534119597957,0.0019201742037040033,numberOfStrictModeLocal,0.00016800095827746602,0.00018231833072253483,7130.0,594.0,8.267622566322413e-38,40.351941090237254,5.195962116921575,-12.922530588020978,6.602740703867288e-06,2.4563830052450068e-05
5,skewtest is not valid with less than 8 samples; 7 samples were given.,,,,,,,,numberOfWindowOnError,,,,,,,,,,
6,skewtest is not valid with less than 8 samples; 4 samples were given.,,,,,,,,numberOfWindowOnErrorLines,,,,,,,,,,
7,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorEmptyHandler,,,,,,,,,,
8,skewtest is not valid with less than 8 samples; 2 samples were given.,,,,,,,,numberOfWindowOnErrorOnNoUsageOfErrorArgument,,,,,,,,,,
9,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorUniqueStatement,,,,,,,,,,
10,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorUniqueConsole,,,,,,,,,,
11,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThrows,,,,,,,,,,
12,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatThrows,,,,,,,,,,
13,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorRethrows,,,,,,,,,,
14,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatRethrows,,,,,,,,,,
15,,mannwhitneyu,,,,,,,numberOfWindowOnErrorReturns,,,,,0.12390425000647903,,,6.0,,
16,skewtest is not valid with less than 8 samples; 2 samples were given.,,,,,,,,numberOfWindowOnErrorThatReturns,,,,,,,,,,
17,,mannwhitneyu,-3.0,-3.0,0.00016800095827746602,0.00018231833072253483,0.00016800095827746602,0.00018231833072253483,numberOfWindowOnErrorThatReturnsLiteral,0.00016800095827746602,0.00018231833072253483,11.0,2.0,0.00047210664009389826,0.0,0.0,0.0,0.0,0.0
18,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorContinues,,,,,,,,,,
19,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatContinues,,,,,,,,,,
20,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorBreaks,,,,,,,,,,
21,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatBreaks,,,,,,,,,,
22,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListener,,,,,,,,,,
23,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListenerLines,,,,,,,,,,
24,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerEmptyHandler,,,,,,,,,,
25,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerNoUsageOfErrorArgument,,,,,,,,,,
26,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatThrows,,,,,,,,,,
